dataset_name,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,neighbor_fraction,classes_with_positive_train_examples,mean_auc,mean_accuracy,exact_match_accuracy,f1_macro,f1_micro
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,100-img,9,100,20,0.05,1,0.2,13,0.5822500408299872,0.5519717825627443,0.0,0.10489225280609794,0.15151442075817498
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,0,500,50,0.05,3,0.1,14,0.631507222026231,0.7342900436759069,0.004367590694357786,0.12294245529058513,0.2040053404539386
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,1,500,50,0.05,3,0.1,13,0.6360622943175676,0.7127258604663008,0.008289508868883145,0.1300647870684975,0.20141236438293128
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,2,500,50,0.05,3,0.1,13,0.6220875716539426,0.7329530261164096,0.004545859702290757,0.11760998400388951,0.20054892692410323
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,3,500,50,0.05,3,0.1,13,0.633630944106763,0.7424012835368572,0.00971566093234691,0.12778474693450237,0.20936413022237854
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,4,500,50,0.05,3,0.1,13,0.634054399283254,0.7025135930118548,0.004189321686424815,0.12314452124542544,0.1924612433245191
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,5,500,50,0.05,3,0.1,14,0.6440133730853441,0.7027491627723378,0.00410018718245833,0.12257566538786036,0.19928654730054196
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,6,500,50,0.05,3,0.1,14,0.6549096368762034,0.6900347624565469,0.004545859702290757,0.12559610300947013,0.19354304361510047
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,7,500,50,0.05,3,0.1,14,0.649124260963718,0.6569722282352641,0.0032088421427934753,0.12337944846255504,0.18593617792820016
chestmnist,stanford_dinov2_xray_224,StanfordAIMI/dinov2-base-xray-224,224,500-img,8,500,50,0.05,3,0.1,14,0.6267128841046644,0.7363847045191193,0.01033960246011231,0.12350701439115765,0.20529356442294774
