dataset_name,adaptation_method,run_name,model_name,image_size,setting,seed,n_train,k,threshold,positive_neighbors_needed,class_name,true_positive_rate,predicted_positive_rate,accuracy,f1,auc
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,infiltration,0.17987342178821564,0.9356448650360107,0.23638470451911936,0.31546144626448264,0.651449986745742
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,mass,0.05570906400680542,0.27070149779319763,0.7475710847669133,0.22665210267613325,0.7649242212573155
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,nodule,0.05463945120573044,0.37320616841316223,0.6302700775470185,0.13583333333333333,0.6135619469911303
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,pneumonia,0.011854888871312141,0.011765754781663418,0.9770924324806133,0.03018867924528302,0.6576770267722345
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,pneumothorax,0.04492378979921341,0.23513682186603546,0.7778768161155183,0.2068746021642266,0.7834052729818014
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,consolidation,0.0398431234061718,0.27070149779319763,0.7427578215527231,0.17164179104477612,0.7686399655748477
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,edema,0.017826899886131287,0.12131205946207047,0.8840360103396024,0.16655989750160155,0.8588258916417097
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,emphysema,0.018539976328611374,0.08842142671346664,0.9040912737320617,0.10333333333333333,0.7414940828402368
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,fibrosis,0.01479632779955864,0.03226669132709503,0.9566806310722881,0.07954545454545454,0.6715158834923517
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,pleural,0.03315803408622742,0.12389696389436722,0.8679026651216686,0.15891032917139614,0.719053804084376
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,full,full,78468,100,0.05,5,hernia,0.0036545146722346544,8.913450437830761e-05,0.9962563508334076,0.0,0.6961278469467465
