dataset_name,adaptation_method,run_name,model_name,image_size,setting,n_train,k,threshold,positive_neighbors_needed,runs,classes_with_positive_train_examples_mean,mean_auc_mean,mean_auc_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,mean_accuracy_mean,exact_match_accuracy_mean
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.2,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.3,1,10,7.6,0.5244076439271154,0.013644760138315962,0.07193564421604824,0.01599209144020963,0.1589916539467813,0.04065395649134293,0.8622623610456751,0.18919689811926196
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,3,0.5,2,10,7.6,0.5244076439271154,0.013644760138315962,0.02095965739231296,0.017829072218221484,0.07050001345182487,0.06143369859116361,0.9412883755873327,0.4878153133077814
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.01,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.03,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.05,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.1,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.15,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.2,1,10,7.6,0.5300475555442625,0.016464332569002833,0.07652901430748854,0.014654595238111377,0.1638981225085479,0.039437443982650706,0.8097786917601517,0.09294054728585435
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.3,2,10,7.6,0.5300475555442625,0.016464332569002833,0.03162369767744543,0.020173118305907352,0.1148753341981305,0.06591319551634775,0.9284141698394306,0.4047330421606204
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,5,0.5,3,10,7.6,0.5300475555442625,0.016464332569002833,0.011571925023839507,0.014994380024134177,0.0416400056223215,0.05922474264004209,0.9461684896794977,0.5192708797575541
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.01,1,10,7.6,0.5327080598796292,0.016515246583377576,0.07692818651842452,0.011485336764385798,0.1554366025380311,0.029261070113903845,0.6869729922452981,0.027685176931990373
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.03,1,10,7.6,0.5327080598796292,0.016515246583377576,0.07692818651842452,0.011485336764385798,0.1554366025380311,0.029261070113903845,0.6869729922452981,0.027685176931990373
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.05,1,10,7.6,0.5327080598796292,0.016515246583377576,0.07692818651842452,0.011485336764385798,0.1554366025380311,0.029261070113903845,0.6869729922452981,0.027685176931990373
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.1,1,10,7.6,0.5327080598796292,0.016515246583377576,0.07692818651842452,0.011485336764385798,0.1554366025380311,0.029261070113903845,0.6869729922452981,0.027685176931990373
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.15,2,10,7.6,0.5327080598796292,0.016515246583377576,0.04344943006173045,0.019066910685975987,0.15942664292057523,0.059223858184519855,0.8843263341525219,0.21879846688653176
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.2,2,10,7.6,0.5327080598796292,0.016515246583377576,0.04344943006173045,0.019066910685975987,0.15942664292057523,0.059223858184519855,0.8843263341525219,0.21879846688653176
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.3,3,10,7.6,0.5327080598796292,0.016515246583377576,0.02222150688276033,0.016667393083867957,0.10036218292307675,0.07210929492486068,0.9284460035908472,0.3868080934129602
chestmnist,frozen_feature_knn,rad_dino_518,microsoft/rad-dino,518,20-img,20,10,0.5,5,10,7.6,0.5327080598796292,0.016515246583377576,0.003214450433586406,0.010164984795848854,0.013283927744326077,0.04200746794517328,0.9483255446754868,0.5343791781798733
